Time(s)       Stress(out)        Total_Strain(in)       Visco-elastic_Strain    Visco-plastic_Strain 
 0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00 
 5.00000E-03  3.53860E-02 -6.25900E-03 -6.25900E-03  0.00000E+00 
 1.00000E-02  1.00004E-01  2.65400E-03  5.97096E-04  2.05690E-03 
 1.50000E-02  1.50025E-01  1.42880E-02  1.22311E-02  2.05691E-03 
 2.00000E-02  1.50100E-01  1.43120E-02  1.22551E-02  2.05693E-03 
 2.50000E-02  1.50225E-01  1.43480E-02  1.22911E-02  2.05694E-03 
 3.00000E-02  1.50395E-01  1.43950E-02  1.23381E-02  2.05695E-03 
 3.50000E-02  1.50619E-01  1.44550E-02  1.23980E-02  2.05696E-03 
 4.00000E-02  1.50888E-01  1.45260E-02  1.24690E-02  2.05697E-03 
 4.50000E-02  1.51203E-01  1.46080E-02  1.25510E-02  2.05698E-03 
 5.00000E-02  1.51572E-01  1.47030E-02  1.26460E-02  2.05699E-03 
 5.50000E-02  1.51987E-01  1.48090E-02  1.27520E-02  2.05700E-03 
 6.00000E-02  1.52448E-01  1.49260E-02  1.28690E-02  2.05701E-03 
 6.50000E-02  1.52955E-01  1.50540E-02  1.29970E-02  2.05702E-03 
 7.00000E-02  1.53512E-01  1.51940E-02  1.31370E-02  2.05704E-03 
 7.50000E-02  1.54111E-01  1.53440E-02  1.32870E-02  2.05705E-03 
 8.00000E-02  1.54760E-01  1.55060E-02  1.34489E-02  2.05706E-03 
 8.50000E-02  1.55452E-01  1.56780E-02  1.36209E-02  2.05707E-03 
 9.00000E-02  1.56186E-01  1.58600E-02  1.38029E-02  2.05708E-03 
 9.50000E-02  1.56963E-01  1.60520E-02  1.39949E-02  2.05709E-03 
 1.00000E-01  1.57783E-01  1.62540E-02  1.41969E-02  2.05710E-03 
 1.05000E-01  1.58646E-01  1.64660E-02  1.44089E-02  2.05711E-03 
 1.10000E-01  1.59552E-01  1.66880E-02  1.46309E-02  2.05712E-03 
 1.15000E-01  1.60493E-01  1.69180E-02  1.48609E-02  2.05713E-03 
 1.20000E-01  1.61474E-01  1.71570E-02  1.50999E-02  2.05714E-03 
 1.25000E-01  1.62494E-01  1.74050E-02  1.53479E-02  2.05715E-03 
 1.30000E-01  1.63551E-01  1.76610E-02  1.56038E-02  2.05716E-03 
 1.35000E-01  1.64644E-01  1.79250E-02  1.58678E-02  2.05717E-03 
 1.40000E-01  1.65774E-01  1.81970E-02  1.61398E-02  2.05718E-03 
 1.45000E-01  1.66932E-01  1.84750E-02  1.64178E-02  2.05719E-03 
 1.50000E-01  1.68128E-01  1.87610E-02  1.67038E-02  2.05719E-03 
 1.55000E-01  1.69354E-01  1.90530E-02  1.69958E-02  2.05720E-03 
 1.60000E-01  1.70613E-01  1.93520E-02  1.72948E-02  2.05721E-03 
 1.65000E-01  1.71895E-01  1.96550E-02  1.75978E-02  2.05722E-03 
 1.70000E-01  1.73211E-01  1.99650E-02  1.79078E-02  2.05723E-03 
 1.75000E-01  1.74550E-01  2.02790E-02  1.82218E-02  2.05724E-03 
 1.80000E-01  1.75912E-01  2.05970E-02  1.85398E-02  2.05725E-03 
 1.85000E-01  1.77302E-01  2.09200E-02  1.88627E-02  2.05726E-03 
 1.90000E-01  1.78711E-01  2.12460E-02  1.91887E-02  2.05727E-03 
 1.95000E-01  1.80141E-01  2.15750E-02  1.95177E-02  2.05728E-03 
 2.00000E-01  1.81596E-01  2.19080E-02  1.98507E-02  2.05729E-03 
 2.05000E-01  1.83063E-01  2.22420E-02  2.01847E-02  2.05729E-03 
