Time(s)       Stress(in)        Total_Strain(out)       Visco-elastic_Strain    Visco-plastic_Strain 
 0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00 
 1.00000E-02  6.50000E-02  4.35796E-03  4.35796E-03  0.00000E+00 
 2.00000E-02  1.30000E-01  1.16824E-02  8.34098E-03  3.34146E-03 
 3.00000E-02  1.30000E-01  1.16869E-02  8.34535E-03  3.34151E-03 
 4.00000E-02  1.30000E-01  1.16912E-02  8.34970E-03  3.34155E-03 
 5.00000E-02  1.30000E-01  1.16956E-02  8.35403E-03  3.34159E-03 
 6.00000E-02  1.30000E-01  1.17000E-02  8.35835E-03  3.34163E-03 
 7.00000E-02  1.30000E-01  1.17043E-02  8.36265E-03  3.34168E-03 
 8.00000E-02  1.30000E-01  1.17086E-02  8.36693E-03  3.34172E-03 
 9.00000E-02  1.30000E-01  1.17130E-02  8.37120E-03  3.34176E-03 
 1.00000E-01  1.30000E-01  1.17173E-02  8.37545E-03  3.34180E-03 
 1.10000E-01  1.30000E-01  1.17215E-02  8.37968E-03  3.34185E-03 
 1.20000E-01  1.30000E-01  1.17258E-02  8.38390E-03  3.34189E-03 
 1.30000E-01  1.30000E-01  1.17300E-02  8.38811E-03  3.34193E-03 
 1.40000E-01  1.30000E-01  1.17343E-02  8.39229E-03  3.34198E-03 
 1.50000E-01  1.30000E-01  1.17385E-02  8.39646E-03  3.34202E-03 
 1.60000E-01  1.30000E-01  1.17427E-02  8.40062E-03  3.34206E-03 
 1.70000E-01  1.30000E-01  1.17469E-02  8.40476E-03  3.34210E-03 
 1.80000E-01  1.30000E-01  1.17510E-02  8.40888E-03  3.34215E-03 
 1.90000E-01  1.30000E-01  1.17552E-02  8.41299E-03  3.34219E-03 
 2.00000E-01  1.30000E-01  1.17593E-02  8.41709E-03  3.34223E-03 
 2.10000E-01  1.30000E-01  1.17634E-02  8.42116E-03  3.34227E-03 
 2.20000E-01  1.30000E-01  1.17675E-02  8.42523E-03  3.34232E-03 
 2.30000E-01  1.30000E-01  1.17716E-02  8.42927E-03  3.34236E-03 
 2.40000E-01  1.30000E-01  1.17757E-02  8.43331E-03  3.34240E-03 
 2.50000E-01  1.30000E-01  1.17798E-02  8.43732E-03  3.34244E-03 
 2.60000E-01  1.30000E-01  1.17838E-02  8.44133E-03  3.34249E-03 
 2.70000E-01  1.30000E-01  1.17878E-02  8.44531E-03  3.34253E-03 
 2.80000E-01  1.30000E-01  1.17919E-02  8.44929E-03  3.34257E-03 
 2.90000E-01  1.30000E-01  1.17959E-02  8.45324E-03  3.34261E-03 
 3.00000E-01  1.30000E-01  1.17998E-02  8.45719E-03  3.34266E-03 
 3.10000E-01  1.30000E-01  1.18038E-02  8.46111E-03  3.34270E-03 
 3.20000E-01  1.30000E-01  1.18078E-02  8.46503E-03  3.34274E-03 
 3.30000E-01  1.30000E-01  1.18117E-02  8.46893E-03  3.34278E-03 
 3.40000E-01  1.30000E-01  1.18156E-02  8.47281E-03  3.34283E-03 
 3.50000E-01  1.30000E-01  1.18195E-02  8.47668E-03  3.34287E-03 
 3.60000E-01  1.30000E-01  1.18234E-02  8.48054E-03  3.34291E-03 
 3.70000E-01  1.30000E-01  1.18273E-02  8.48438E-03  3.34295E-03 
 3.80000E-01  1.30000E-01  1.18312E-02  8.48820E-03  3.34300E-03 
 3.90000E-01  1.30000E-01  1.18351E-02  8.49202E-03  3.34304E-03 
 4.00000E-01  1.30000E-01  1.18389E-02  8.49582E-03  3.34308E-03 
 4.10000E-01  1.30000E-01  1.18427E-02  8.49960E-03  3.34312E-03 
 4.20000E-01  1.30000E-01  1.18465E-02  8.50337E-03  3.34317E-03 
 4.30000E-01  1.30000E-01  1.18503E-02  8.50713E-03  3.34321E-03 
 4.40000E-01  1.30000E-01  1.18541E-02  8.51087E-03  3.34325E-03 
 4.50000E-01  1.30000E-01  1.18579E-02  8.51460E-03  3.34329E-03 
 4.60000E-01  1.30000E-01  1.18617E-02  8.51831E-03  3.34334E-03 
 4.70000E-01  1.30000E-01  1.18654E-02  8.52202E-03  3.34338E-03 
 4.80000E-01  1.30000E-01  1.18691E-02  8.52570E-03  3.34342E-03 
 4.90000E-01  1.30000E-01  1.18728E-02  8.52938E-03  3.34346E-03 
 5.00000E-01  1.30000E-01  1.18765E-02  8.53304E-03  3.34351E-03 
 5.10000E-01  1.30000E-01  1.18802E-02  8.53669E-03  3.34355E-03 
 5.20000E-01  1.30000E-01  1.18839E-02  8.54032E-03  3.34359E-03 
 5.30000E-01  1.30000E-01  1.18876E-02  8.54394E-03  3.34363E-03 
 5.40000E-01  1.30000E-01  1.18912E-02  8.54755E-03  3.34368E-03 
 5.50000E-01  1.30000E-01  1.18949E-02  8.55114E-03  3.34372E-03 
 5.60000E-01  1.30000E-01  1.18985E-02  8.55472E-03  3.34376E-03 
 5.70000E-01  1.30000E-01  1.19021E-02  8.55829E-03  3.34380E-03 
 5.80000E-01  1.30000E-01  1.19057E-02  8.56185E-03  3.34385E-03 
 5.90000E-01  1.30000E-01  1.19093E-02  8.56539E-03  3.34389E-03 
 6.00000E-01  1.30000E-01  1.19128E-02  8.56892E-03  3.34393E-03 
 6.10000E-01  1.30000E-01  1.19164E-02  8.57243E-03  3.34397E-03 
 6.20000E-01  1.30000E-01  1.19200E-02  8.57594E-03  3.34402E-03 
 6.30000E-01  1.30000E-01  1.19235E-02  8.57943E-03  3.34406E-03 
 6.40000E-01  1.30000E-01  1.19270E-02  8.58291E-03  3.34410E-03 
 6.50000E-01  1.30000E-01  1.19305E-02  8.58637E-03  3.34414E-03 
 6.60000E-01  1.30000E-01  1.19340E-02  8.58982E-03  3.34419E-03 
 6.70000E-01  1.30000E-01  1.19375E-02  8.59327E-03  3.34423E-03 
 6.80000E-01  1.30000E-01  1.19410E-02  8.59669E-03  3.34427E-03 
 6.90000E-01  1.30000E-01  1.19444E-02  8.60011E-03  3.34431E-03 
 7.00000E-01  1.30000E-01  1.19479E-02  8.60351E-03  3.34436E-03 
 7.10000E-01  1.30000E-01  1.19513E-02  8.60690E-03  3.34440E-03 
 7.20000E-01  1.30000E-01  1.19547E-02  8.61028E-03  3.34444E-03 
 7.30000E-01  1.30000E-01  1.19581E-02  8.61365E-03  3.34448E-03 
 7.40000E-01  1.30000E-01  1.19615E-02  8.61700E-03  3.34453E-03 
 7.50000E-01  1.30000E-01  1.19649E-02  8.62035E-03  3.34457E-03 
 7.60000E-01  1.30000E-01  1.19683E-02  8.62368E-03  3.34461E-03 
 7.70000E-01  1.30000E-01  1.19716E-02  8.62699E-03  3.34465E-03 
 7.80000E-01  1.30000E-01  1.19750E-02  8.63030E-03  3.34470E-03 
 7.90000E-01  1.30000E-01  1.19783E-02  8.63360E-03  3.34474E-03 
 8.00000E-01  1.30000E-01  1.19817E-02  8.63688E-03  3.34478E-03 
 8.10000E-01  1.30000E-01  1.19850E-02  8.64015E-03  3.34482E-03 
 8.20000E-01  1.30000E-01  1.19883E-02  8.64341E-03  3.34487E-03 
 8.30000E-01  1.30000E-01  1.19916E-02  8.64666E-03  3.34491E-03 
 8.40000E-01  1.30000E-01  1.19948E-02  8.64989E-03  3.34495E-03 
 8.50000E-01  1.30000E-01  1.19981E-02  8.65312E-03  3.34499E-03 
 8.60000E-01  1.30000E-01  1.20014E-02  8.65633E-03  3.34504E-03 
 8.70000E-01  1.30000E-01  1.20046E-02  8.65953E-03  3.34508E-03 
 8.80000E-01  1.30000E-01  1.20078E-02  8.66272E-03  3.34512E-03 
 8.90000E-01  1.30000E-01  1.20111E-02  8.66590E-03  3.34516E-03 
 9.00000E-01  1.30000E-01  1.20143E-02  8.66907E-03  3.34521E-03 
 9.10000E-01  1.30000E-01  1.20175E-02  8.67223E-03  3.34525E-03 
 9.20000E-01  1.30000E-01  1.20207E-02  8.67537E-03  3.34529E-03 
 9.30000E-01  1.30000E-01  1.20238E-02  8.67851E-03  3.34533E-03 
 9.40000E-01  1.30000E-01  1.20270E-02  8.68163E-03  3.34538E-03 
 9.50000E-01  1.30000E-01  1.20302E-02  8.68474E-03  3.34542E-03 
 9.60000E-01  1.30000E-01  1.20333E-02  8.68785E-03  3.34546E-03 
 9.70000E-01  1.30000E-01  1.20364E-02  8.69094E-03  3.34550E-03 
 9.80000E-01  1.30000E-01  1.20396E-02  8.69402E-03  3.34555E-03 
 9.90000E-01  1.30000E-01  1.20427E-02  8.69708E-03  3.34559E-03 
 1.00000E+00  1.30000E-01  1.20458E-02  8.70014E-03  3.34563E-03 
 1.01000E+00  1.30000E-01  1.20489E-02  8.70319E-03  3.34567E-03 
 1.02000E+00  1.30000E-01  1.20519E-02  8.70623E-03  3.34572E-03 
 1.03000E+00  1.30000E-01  1.20550E-02  8.70925E-03  3.34576E-03 
 1.04000E+00  1.30000E-01  1.20581E-02  8.71227E-03  3.34580E-03 
 1.05000E+00  1.30000E-01  1.20611E-02  8.71527E-03  3.34584E-03 
 1.06000E+00  1.30000E-01  1.20642E-02  8.71827E-03  3.34589E-03 
 1.07000E+00  1.30000E-01  1.20672E-02  8.72125E-03  3.34593E-03 
 1.08000E+00  1.30000E-01  1.20702E-02  8.72422E-03  3.34597E-03 
 1.09000E+00  1.30000E-01  1.20732E-02  8.72719E-03  3.34601E-03 
 1.10000E+00  1.30000E-01  1.20762E-02  8.73014E-03  3.34606E-03 
 1.11000E+00  1.30000E-01  1.20792E-02  8.73308E-03  3.34610E-03 
 1.12000E+00  1.30000E-01  1.20822E-02  8.73601E-03  3.34614E-03 
 1.13000E+00  1.30000E-01  1.20851E-02  8.73894E-03  3.34618E-03 
 1.14000E+00  1.30000E-01  1.20881E-02  8.74185E-03  3.34622E-03 
 1.15000E+00  1.30000E-01  1.20910E-02  8.74475E-03  3.34627E-03 
 1.16000E+00  1.30000E-01  1.20940E-02  8.74764E-03  3.34631E-03 
 1.17000E+00  1.30000E-01  1.20969E-02  8.75052E-03  3.34635E-03 
 1.18000E+00  1.30000E-01  1.20998E-02  8.75340E-03  3.34639E-03 
 1.19000E+00  1.30000E-01  1.21027E-02  8.75626E-03  3.34644E-03 
 1.20000E+00  1.30000E-01  1.21056E-02  8.75911E-03  3.34648E-03 
 1.21000E+00  1.30000E-01  1.21085E-02  8.76195E-03  3.34652E-03 
 1.22000E+00  1.30000E-01  1.21114E-02  8.76479E-03  3.34656E-03 
 1.23000E+00  1.30000E-01  1.21142E-02  8.76761E-03  3.34661E-03 
 1.24000E+00  1.30000E-01  1.21171E-02  8.77042E-03  3.34665E-03 
 1.25000E+00  1.30000E-01  1.21199E-02  8.77323E-03  3.34669E-03 
 1.26000E+00  1.30000E-01  1.21228E-02  8.77602E-03  3.34673E-03 
 1.27000E+00  1.30000E-01  1.21256E-02  8.77880E-03  3.34678E-03 
 1.28000E+00  1.30000E-01  1.21284E-02  8.78158E-03  3.34682E-03 
 1.29000E+00  1.30000E-01  1.21312E-02  8.78435E-03  3.34686E-03 
 1.30000E+00  1.30000E-01  1.21340E-02  8.78710E-03  3.34690E-03 
 1.31000E+00  1.30000E-01  1.21368E-02  8.78985E-03  3.34695E-03 
 1.32000E+00  1.30000E-01  1.21396E-02  8.79259E-03  3.34699E-03 
 1.33000E+00  1.30000E-01  1.21423E-02  8.79531E-03  3.34703E-03 
 1.34000E+00  1.30000E-01  1.21451E-02  8.79803E-03  3.34707E-03 
 1.35000E+00  1.30000E-01  1.21479E-02  8.80074E-03  3.34712E-03 
 1.36000E+00  1.30000E-01  1.21506E-02  8.80344E-03  3.34716E-03 
 1.37000E+00  1.30000E-01  1.21533E-02  8.80613E-03  3.34720E-03 
 1.38000E+00  1.30000E-01  1.21561E-02  8.80882E-03  3.34724E-03 
 1.39000E+00  1.30000E-01  1.21588E-02  8.81149E-03  3.34728E-03 
 1.40000E+00  1.30000E-01  1.21615E-02  8.81415E-03  3.34733E-03 
 1.41000E+00  1.30000E-01  1.21642E-02  8.81681E-03  3.34737E-03 
 1.42000E+00  1.30000E-01  1.21669E-02  8.81946E-03  3.34741E-03 
 1.43000E+00  1.30000E-01  1.21695E-02  8.82209E-03  3.34745E-03 
 1.44000E+00  1.30000E-01  1.21722E-02  8.82472E-03  3.34750E-03 
 1.45000E+00  1.30000E-01  1.21749E-02  8.82734E-03  3.34754E-03 
 1.46000E+00  1.30000E-01  1.21775E-02  8.82995E-03  3.34758E-03 
