Time(s)       Stress(in)        Total_Strain(out)       Visco-elastic_Strain    Visco-plastic_Strain 
 0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00 
 5.00000E-03  5.00000E-02 -6.25934E-03 -6.25934E-03  0.00000E+00 
 1.00000E-02  1.00000E-01  2.65370E-03  5.96938E-04  2.05676E-03 
 1.50000E-02  1.50025E-01  1.42882E-02  1.22315E-02  2.05677E-03 
 2.00000E-02  1.50099E-01  1.43120E-02  1.22552E-02  2.05678E-03 
 2.50000E-02  1.50222E-01  1.43476E-02  1.22908E-02  2.05679E-03 
 3.00000E-02  1.50394E-01  1.43950E-02  1.23382E-02  2.05680E-03 
 3.50000E-02  1.50616E-01  1.44546E-02  1.23978E-02  2.05681E-03 
 4.00000E-02  1.50886E-01  1.45257E-02  1.24689E-02  2.05682E-03 
 4.50000E-02  1.51204E-01  1.46084E-02  1.25515E-02  2.05684E-03 
 5.00000E-02  1.51571E-01  1.47029E-02  1.26460E-02  2.05685E-03 
 5.50000E-02  1.51985E-01  1.48086E-02  1.27518E-02  2.05686E-03 
 6.00000E-02  1.52447E-01  1.49259E-02  1.28690E-02  2.05687E-03 
 6.50000E-02  1.52956E-01  1.50544E-02  1.29976E-02  2.05688E-03 
 7.00000E-02  1.53511E-01  1.51940E-02  1.31371E-02  2.05689E-03 
 7.50000E-02  1.54112E-01  1.53444E-02  1.32875E-02  2.05690E-03 
 8.00000E-02  1.54759E-01  1.55058E-02  1.34489E-02  2.05691E-03 
 8.50000E-02  1.55450E-01  1.56776E-02  1.36207E-02  2.05692E-03 
 9.00000E-02  1.56185E-01  1.58598E-02  1.38029E-02  2.05693E-03 
 9.50000E-02  1.56963E-01  1.60521E-02  1.39952E-02  2.05694E-03 
 1.00000E-01  1.57784E-01  1.62544E-02  1.41975E-02  2.05695E-03 
 1.05000E-01  1.58646E-01  1.64662E-02  1.44093E-02  2.05696E-03 
 1.10000E-01  1.59549E-01  1.66875E-02  1.46305E-02  2.05697E-03 
 1.15000E-01  1.60492E-01  1.69179E-02  1.48610E-02  2.05698E-03 
 1.20000E-01  1.61474E-01  1.71572E-02  1.51002E-02  2.05699E-03 
 1.25000E-01  1.62494E-01  1.74050E-02  1.53480E-02  2.05700E-03 
 1.30000E-01  1.63552E-01  1.76613E-02  1.56043E-02  2.05701E-03 
 1.35000E-01  1.64645E-01  1.79253E-02  1.58683E-02  2.05702E-03 
 1.40000E-01  1.65773E-01  1.81969E-02  1.61398E-02  2.05703E-03 
 1.45000E-01  1.66934E-01  1.84755E-02  1.64184E-02  2.05704E-03 
 1.50000E-01  1.68129E-01  1.87612E-02  1.67042E-02  2.05705E-03 
 1.55000E-01  1.69355E-01  1.90534E-02  1.69963E-02  2.05706E-03 
 1.60000E-01  1.70611E-01  1.93515E-02  1.72944E-02  2.05707E-03 
 1.65000E-01  1.71896E-01  1.96554E-02  1.75983E-02  2.05708E-03 
 1.70000E-01  1.73209E-01  1.99646E-02  1.79075E-02  2.05709E-03 
 1.75000E-01  1.74548E-01  2.02786E-02  1.82215E-02  2.05709E-03 
 1.80000E-01  1.75912E-01  2.05971E-02  1.85400E-02  2.05710E-03 
 1.85000E-01  1.77300E-01  2.09196E-02  1.88625E-02  2.05711E-03 
 1.90000E-01  1.78711E-01  2.12460E-02  1.91888E-02  2.05712E-03 
 1.95000E-01  1.80143E-01  2.15755E-02  1.95183E-02  2.05713E-03 
 2.00000E-01  1.81594E-01  2.19076E-02  1.98505E-02  2.05714E-03 
 2.05000E-01  1.83063E-01  2.22421E-02  2.01849E-02  2.05715E-03 
 2.10000E-01  1.84549E-01  2.25785E-02  2.05214E-02  2.05716E-03 
 2.15000E-01  1.86050E-01  2.29164E-02  2.08592E-02  2.05717E-03 
 2.20000E-01  1.87566E-01  2.32555E-02  2.11984E-02  2.05718E-03 
 2.25000E-01  1.89093E-01  2.35951E-02  2.15379E-02  2.05718E-03 
 2.30000E-01  1.90631E-01  2.39349E-02  2.18777E-02  2.05719E-03 
 2.35000E-01  1.92178E-01  2.42744E-02  2.22172E-02  2.05720E-03 
 2.40000E-01  1.93733E-01  2.46134E-02  2.25562E-02  2.05721E-03 
 2.45000E-01  1.95295E-01  2.49515E-02  2.28943E-02  2.05722E-03 
 2.50000E-01  1.96860E-01  2.52879E-02  2.32307E-02  2.05723E-03 
 2.55000E-01  1.98429E-01  2.56227E-02  2.35655E-02  2.05724E-03 
 2.60000E-01  2.00000E-01  2.59554E-02  2.38982E-02  2.05724E-03 
 2.65000E-01  2.01571E-01  2.62857E-02  2.42284E-02  2.05725E-03 
 2.70000E-01  2.03140E-01  2.66129E-02  2.45557E-02  2.05726E-03 
 2.75000E-01  2.04705E-01  2.69368E-02  2.48796E-02  2.05727E-03 
 2.80000E-01  2.06267E-01  2.72575E-02  2.52003E-02  2.05728E-03 
 2.85000E-01  2.07822E-01  2.75743E-02  2.55170E-02  2.05729E-03 
 2.90000E-01  2.09369E-01  2.78868E-02  2.58295E-02  2.05730E-03 
 2.95000E-01  2.10907E-01  2.81949E-02  2.61376E-02  2.05731E-03 
 3.00000E-01  2.12434E-01  2.84984E-02  2.64411E-02  2.05731E-03 
 3.05000E-01  2.13950E-01  2.87971E-02  2.67398E-02  2.05732E-03 
 3.10000E-01  2.15451E-01  2.90905E-02  2.70331E-02  2.05733E-03 
 3.15000E-01  2.16937E-01  2.93785E-02  2.73211E-02  2.05734E-03 
 3.20000E-01  2.18406E-01  2.96608E-02  2.76034E-02  2.05735E-03 
 3.25000E-01  2.19857E-01  2.99373E-02  2.78799E-02  2.05736E-03 
 3.30000E-01  2.21289E-01  3.02079E-02  2.81505E-02  2.05737E-03 
 3.35000E-01  2.22700E-01  3.04724E-02  2.84150E-02  2.05738E-03 
 3.40000E-01  2.24088E-01  3.07304E-02  2.86730E-02  2.05738E-03 
 3.45000E-01  2.25452E-01  3.09818E-02  2.89245E-02  2.05739E-03 
 3.50000E-01  2.26791E-01  3.12267E-02  2.91693E-02  2.05740E-03 
 3.55000E-01  2.28104E-01  3.14649E-02  2.94075E-02  2.05741E-03 
 3.60000E-01  2.29389E-01  3.16963E-02  2.96388E-02  2.05742E-03 
 3.65000E-01  2.30645E-01  3.19206E-02  2.98632E-02  2.05743E-03 
 3.70000E-01  2.31871E-01  3.21380E-02  3.00805E-02  2.05744E-03 
 3.75000E-01  2.33066E-01  3.23483E-02  3.02908E-02  2.05745E-03 
 3.80000E-01  2.34227E-01  3.25511E-02  3.04937E-02  2.05746E-03 
 3.85000E-01  2.35355E-01  3.27469E-02  3.06894E-02  2.05747E-03 
 3.90000E-01  2.36448E-01  3.29353E-02  3.08778E-02  2.05747E-03 
 3.95000E-01  2.37506E-01  3.31164E-02  3.10590E-02  2.05748E-03 
 4.00000E-01  2.38526E-01  3.32901E-02  3.12326E-02  2.05749E-03 
 4.05000E-01  2.39508E-01  3.34562E-02  3.13987E-02  2.05750E-03 
 4.10000E-01  2.40451E-01  3.36149E-02  3.15574E-02  2.05751E-03 
